case,test,statistic,value
c14,tukey,estimate:G1-G2,-2.0237133498094035
c14,tukey,adj.p.value:G1-G2,0.2069917069320274
c14,tukey,estimate:G1-G3,-0.573592601168535
c14,tukey,adj.p.value:G1-G3,0.9007989852335625
c14,tukey,estimate:G1-G4,-3.112531408378656
c14,tukey,adj.p.value:G1-G4,0.0010355203351065656
c14,tukey,estimate:G1-G5,-3.927096240276054
c14,tukey,adj.p.value:G1-G5,3.3101575924732174e-09
c14,tukey,estimate:G2-G3,1.4501207486408685
c14,tukey,adj.p.value:G2-G3,0.5862746701504595
c14,tukey,estimate:G2-G4,-1.0888180585692524
c14,tukey,adj.p.value:G2-G4,0.8416708320793103
c14,tukey,estimate:G2-G5,-1.9033828904666503
c14,tukey,adj.p.value:G2-G5,0.23761813673244214
c14,tukey,estimate:G3-G4,-2.538938807210121
c14,tukey,adj.p.value:G3-G4,0.023313744182476115
c14,tukey,estimate:G3-G5,-3.353503639107519
c14,tukey,adj.p.value:G3-G5,8.587950819261003e-06
c14,tukey,estimate:G4-G5,-0.8145648318973979
c14,tukey,adj.p.value:G4-G5,0.7918305342132473
c14,kruskal,statistic,36.527546312273614
c14,kruskal,p.value,2.2536447361298223e-07
c14,kruskal,df,4
c14,kruskal,tie.correction,1
c15,anova,statistic,10.277066758906953
c15,anova,p.value,2.7541688013570685e-06
c15,anova,df.between,4
c15,anova,df.within,55
c15,anova,sumsq.between,180.06666666666666
c15,anova,sumsq.within,240.91666666666666
c15,anova,meansq.within,4.38030303030303
c15,anova,eta.squared,0.4277287303535373
c15,tukey,estimate:G1-G2,-1.416666666666666
c15,tukey,adj.p.value:G1-G2,0.4678844199369415
c15,tukey,estimate:G1-G3,-2.75
c15,tukey,adj.p.value:G1-G3,0.0176835329889935
c15,tukey,estimate:G1-G4,-4.083333333333332
c15,tukey,adj.p.value:G1-G4,0.00012829372282907592
c15,tukey,estimate:G1-G5,-4.75
c15,tukey,adj.p.value:G1-G5,7.959036376514739e-06
c15,tukey,estimate:G2-G3,-1.333333333333334
c15,tukey,adj.p.value:G2-G3,0.5285897168738708
c15,tukey,estimate:G2-G4,-2.666666666666666
c15,tukey,adj.p.value:G2-G4,0.023050135566612617
c15,tukey,estimate:G2-G5,-3.333333333333334
c15,tukey,adj.p.value:G2-G5,0.0023542288072596618
c15,tukey,estimate:G3-G4,-1.3333333333333321
c15,tukey,adj.p.value:G3-G4,0.528589716873872
c15,tukey,estimate:G3-G5,-2
c15,tukey,adj.p.value:G3-G5,0.14774630609699468
c15,tukey,estimate:G4-G5,-0.6666666666666679
c15,tukey,adj.p.value:G4-G5,0.9352617231649657
c15,kruskal,statistic,25.79384952472105
c15,kruskal,p.value,3.482213929527203e-05
c15,kruskal,df,4
c15,kruskal,tie.correction,0.9870241733814948
c16,anova,statistic,2.66633087377682
c16,anova,p.value,0.07033449576506746
c16,anova,df.between,2
c16,anova,df.within,597
c16,anova,sumsq.between,21.08173203085356
c16,anova,sumsq.within,2360.1335727309743
c16,anova,meansq.within,3.953322567388567
c16,anova,eta.squared,0.008853349795247592
c16,tukey,estimate:G1-G2,-0.14919538277126243
c16,tukey,adj.p.value:G1-G2,0.7335215571191486
c16,tukey,estimate:G1-G3,-0.45065426100143213
c16,tukey,adj.p.value:G1-G3,0.06138263253592868
c16,tukey,estimate:G2-G3,-0.3014588782301697
c16,tukey,adj.p.value:G2-G3,0.2840108338557694
c16,kruskal,statistic,4.804102163061543
c16,kruskal,p.value,0.09053207406280067
c16,kruskal,df,2
c16,kruskal,tie.correction,1

