fn	arg1	arg2	arg3	value
studentQ	6.5	45		2.8187777055124093e-08
studentQ	6.9	45		7.169690722117587e-09
studentQ	7.300000000000001	45		1.8329505455906152e-09
studentQ	7.7	45		4.726956792586217e-10
studentQ	8.100000000000001	45		1.2333323783048383e-10
studentQ	8.5	45		3.263527486618672e-11
studentQ	8.9	45		8.774697621895125e-12
studentQ	9.3	45		2.4008381801954122e-12
studentQ	9.700000000000001	45		6.692280200312817e-13
studentQ	10.100000000000001	45		1.9020908601396272e-13
studentQ	10.5	45		5.515584639949742e-14
studentQ	10.9	45		1.632383551936604e-14
studentQ	11.3	45		4.931919219565172e-15
studentQ	11.700000000000001	45		1.5212628643048057e-15
studentQ	12.100000000000001	45		4.790364722478729e-16
studentQ	12.5	45		1.5397484623054785e-16
studentQ	12.9	45		5.0507529636850626e-17
studentQ	13.3	45		1.6903240123191582e-17
studentQ	13.700000000000001	45		5.769700417356079e-18
studentQ	14.100000000000001	45		2.0079473387966494e-18
studentQ	14.5	45		7.121993534945303e-19
studentQ	14.9	45		2.5735158812422475e-19
studentQ	15.3	45		9.469956592382101e-20
studentQ	15.700000000000001	45		3.5471619372241454e-20
studentQ	16.1	45		1.35188562587446e-20
studentQ	16.5	45		5.240083988355792e-21
studentQ	16.900000000000002	45		2.0648570207407428e-21
studentQ	17.3	45		8.268196884099902e-22
studentQ	17.7	45		3.3629367854924923e-22
studentQ	18.1	45		1.3887836022156195e-22
studentQ	18.5	45		5.820800961819463e-23
studentQ	18.900000000000002	45		2.4750915980167995e-23
studentQ	19.3	45		1.0673140910551479e-23
studentQ	19.700000000000003	45		4.665755110386211e-24
studentQ	20.1	45		2.066907255434927e-24
studentQ	20.5	45		9.275437870401577e-25
studentQ	20.900000000000002	45		4.21513708279562e-25
studentQ	21.3	45		1.9391291977334233e-25
studentQ	21.700000000000003	45		9.027715559630465e-26
studentQ	22.1	45		4.251946050058975e-26
studentQ	22.5	45		2.0253652255280168e-26
studentQ	22.900000000000002	45		9.754294304119007e-27
studentQ	23.3	45		4.748326293528949e-27
studentQ	23.700000000000003	45		2.3356983622413757e-27
studentQ	24.1	45		1.1606670980053932e-27
chiSquareQ	1	5		0.9625657732472964
chiSquareQ	3.5	5		0.6233876277495807
chiSquareQ	6	5		0.30621891841327825
chiSquareQ	8.5	5		0.13074778927442526
chiSquareQ	11	5		0.05137998348306953
chiSquareQ	13.5	5		0.019117689341227397
chiSquareQ	16	5		0.006844073922420417
chiSquareQ	18.5	5		0.002380836395074235
chiSquareQ	21	5		0.0008100596181897021
chiSquareQ	23.5	5		0.00027079858733695266
chiSquareQ	26	5		8.923598334496322e-05
chiSquareQ	28.5	5		2.905749071828275e-05
chiSquareQ	31	5		9.367248705398537e-06
chiSquareQ	33.5	5		2.993894489735563e-06
chiSquareQ	36	5		9.498108998625082e-07
chiSquareQ	38.5	5		2.993804933931494e-07
chiSquareQ	41	5		9.382783981627106e-08
chiSquareQ	43.5	5		2.9257767009235632e-08
chiSquareQ	46	5		9.082105818889289e-09
chiSquareQ	48.5	5		2.807804662109681e-09
chiSquareQ	51	5		8.648731765263415e-10
chiSquareQ	53.5	5		2.65515532453598e-10
chiSquareQ	56	5		8.12656112671905e-11
chiSquareQ	58.5	5		2.4803579213247022e-11
chiSquareQ	61	5		7.551102832950724e-12
chiSquareQ	63.5	5		2.2934078856357453e-12
chiSquareQ	66	5		6.950304248714071e-13
chiSquareQ	68.5	5		2.1020659722650006e-13
chiSquareQ	71	5		6.345562838714174e-14
chiSquareQ	73.5	5		1.9121868436353364e-14
chiSquareQ	76	5		5.752764320864819e-15
chiSquareQ	78.5	5		1.7280405479234362e-15
chiSquareQ	81	5		5.183263056933029e-16
chiSquareQ	83.5	5		1.5526079120758649e-16
chiSquareQ	86	5		4.644763365887165e-17
chiSquareQ	88.5	5		1.387841333294202e-17
chiSquareQ	91	5		4.142085842352499e-18
chiSquareQ	93.5	5		1.234888583418816e-18
chiSquareQ	96	5		3.6778174384968975e-19
chiSquareQ	98.5	5		1.0942807121465622e-19
chiSquareQ	101	5		3.252852142958849e-20
chiSquareQ	103.5	5		9.660869690787597e-21
chiSquareQ	106	5		2.866833110824729e-21
chiSquareQ	108.5	5		8.500404976675365e-22
chiSquareQ	111	5		2.5185086596469405e-22
chiSquareQ	113.5	5		7.456387869147125e-23
chiSquareQ	116	5		2.2060146554750167e-23
chiSquareQ	118.5	5		6.522227525015333e-24
chiSquareQ	121	5		1.9270951064393956e-24
chiSquareQ	123.5	5		5.690380176117431e-25
chiSquareQ	126	5		1.6792716593062442e-25
chiSquareQ	128.5	5		4.952815747194833e-26
chiSquareQ	131	5		1.4599714038459766e-26
chiSquareQ	133.5	5		4.301365939666746e-27
chiSquareQ	136	5		1.266621079616121e-27
chiSquareQ	138.5	5		3.7279773737050717e-28
chiSquareQ	141	5		1.0967145352268144e-28
chiSquareQ	143.5	5		3.224889608479929e-29
chiSquareQ	146	5		9.478591561946746e-30
chiSquareQ	148.5	5		2.784754476018198e-30
fisherQ	1	4	45	0.4175307633910482
fisherQ	2.2	4	45	0.08413056539083395
