cell_id	quantity	value	source
c0021	rank_biserial	0.4965277777777778	praat
c0021	p	0.0027296853011788804	praat
c0021	p_method	exact	praat
c0022	n_group1	24	praat
c0022	n_group2	24	praat
c0022	n	48	praat
c0022	mean_group1	89.13421448105278	praat
c0022	mean_group2	95.26051014410355	praat
c0022	sd_group1	4.9840777494869775	praat
c0022	sd_group2	5.857231403651492	praat
c0022	median_group1	90.33935299990364	praat
c0022	median_group2	95.27021171593253	praat
c0022	mean_diff	-6.126295663050769	praat
c0022	u1	145	praat
c0022	u2	431	praat
c0022	rank_biserial	-0.4965277777777778	praat
c0022	p	0.0027296853011788804	praat
c0022	p_method	exact	praat
c0023	n_group1	24	praat
c0023	n_group2	24	praat
c0023	n	48	praat
c0023	mean_group1	95.26051014410355	praat
c0023	mean_group2	89.13421448105278	praat
c0023	sd_group1	5.857231403651492	praat
c0023	sd_group2	4.9840777494869775	praat
c0023	median_group1	95.27021171593253	praat
c0023	median_group2	90.33935299990364	praat
c0023	mean_diff	6.126295663050769	praat
c0023	t	3.9024095083039763	praat
c0023	df	44.85122186889205	praat
c0023	p	0.00031662029464293086	praat
c0023	cohens_d	1.1265285900537279	praat
c0023	hedges_g	1.108044010464055	praat
c0023	u1	431	praat
c0023	u2	145	praat
c0023	rank_biserial	0.4965277777777778	praat
c0023	mw_p	0.0027296853011788804	praat
c0023	p_method	exact	praat
c0024	n_group1	24	praat
c0024	n_group2	24	praat
c0024	n	48	praat
c0024	mean_group1	89.13421448105278	praat
c0024	mean_group2	95.26051014410355	praat
c0024	sd_group1	4.9840777494869775	praat
c0024	sd_group2	5.857231403651492	praat
c0024	median_group1	90.33935299990364	praat
c0024	median_group2	95.27021171593253	praat
c0024	mean_diff	-6.126295663050769	praat
c0024	t	-3.9024095083039763	praat
c0024	df	44.85122186889205	praat
c0024	p	0.00031662029464293086	praat
c0024	cohens_d	-1.1265285900537279	praat
c0024	hedges_g	-1.108044010464055	praat
c0024	u1	145	praat
c0024	u2	431	praat
c0024	rank_biserial	-0.4965277777777778	praat
c0024	mw_p	0.0027296853011788804	praat
c0024	p_method	exact	praat
c0025	n_group1	24	praat
c0025	n_group2	24	praat
c0025	n	48	praat
c0025	mean_group1	87.42731120137347	praat
c0025	mean_group2	96.96741342378286	praat
c0025	sd_group1	3.485128329960061	praat
c0025	sd_group2	4.370170708306684	praat
c0025	median_group1	88.11273799482314	praat
c0025	median_group2	97.88766049774816	praat
c0025	mean_diff	-9.540102222409388	praat
c0025	t	-8.361260986258113	praat
c0025	df	43.829915078239196	praat
c0025	p	1.2663016289237486e-10	praat
c0025	cohens_d	-2.413688140590419	praat
c0025	hedges_g	-2.3740832775329577	praat
c0026	n_group1	24	praat
c0026	n_group2	24	praat
c0026	n	48	praat
c0026	mean_group1	96.96741342378286	praat
c0026	mean_group2	87.42731120137347	praat
c0026	sd_group1	4.370170708306684	praat
c0026	sd_group2	3.485128329960061	praat
c0026	median_group1	97.88766049774816	praat
c0026	median_group2	88.11273799482314	praat
c0026	mean_diff	9.540102222409388	praat
c0026	t	8.361260986258113	praat
c0026	df	43.829915078239196	praat
c0026	p	1.2663016289237486e-10	praat
c0026	cohens_d	2.413688140590419	praat
c0026	hedges_g	2.3740832775329577	praat
c0027	n_group1	24	praat
c0027	n_group2	24	praat
c0027	n	48	praat
c0027	mean_group1	87.42731120137347	praat
c0027	mean_group2	96.96741342378286	praat
c0027	sd_group1	3.485128329960061	praat
c0027	sd_group2	4.370170708306684	praat
c0027	median_group1	88.11273799482314	praat
c0027	median_group2	97.88766049774816	praat
c0027	mean_diff	-9.540102222409388	praat
c0027	t	-8.361260986258113	praat
c0027	df	46	praat
c0027	p	8.725917123891969e-11	praat
c0027	cohens_d	-2.413688140590419	praat
c0027	hedges_g	-2.3740832775329577	praat
c0028	n_group1	24	praat
c0028	n_group2	24	praat
c0028	n	48	praat
c0028	mean_group1	96.96741342378286	praat
