k	df	p_target	oracle_source	v154_pass	arbiter_p	port_p	r_p	scipy_p	port_relerr_vs_arbiter	r_relerr_vs_arbiter	scipy_relerr_vs_arbiter	verdict
7	3	0.1	grid	TRUE	0.100000000000001	0.0999999999985238	0.100000000000001	0.1	1.47672152284172e-11	4.85722573273503e-15	3.19189119579731e-15	R_CLOSER
7	3	1e-04	grid	TRUE	0.000100000000000148	9.99999999988451e-05	0.000100000000000148	9.9999999999989e-05	1.30302127594546e-11	1.21972744404439e-15	1.59133773866324e-12	R_CLOSER
7	10	0.1	R	TRUE	0.100000000000002	0.0999999999997187	0.0999999999822049	0.1	2.82954215613524e-12	1.77967501846507e-10	1.67921232474552e-14	PORT_CLOSER
7	10	1e-04	grid	TRUE	0.000100000000002164	9.99999999991272e-05	0.000100000000002164	9.9999999999989e-05	3.03661989210454e-11	1.89735380180858e-15	2.17482824279593e-11	R_CLOSER
7	45	0.1	R	TRUE	0.0999999999999946	0.10000000000011	0.100000000021312	0.1	1.15379927834176e-12	2.1317378418041e-10	5.46784839627919e-14	PORT_CLOSER
7	45	1e-04	R	TRUE	9.9999999994123e-05	9.99999999941246e-05	9.9999999258249e-05	9.9999999999989e-05	1.57209315019637e-14	7.35874035361299e-09	5.86595388183316e-11	PORT_CLOSER
7	200	0.1	R	TRUE	0.0999999999999059	0.0999999999994557	0.10000000003991	0.1	4.50167680910309e-12	4.00041250126314e-10	9.41052791248784e-13	PORT_CLOSER
7	200	1e-04	R	TRUE	9.99999998954261e-05	9.99999998954263e-05	9.99999999581336e-05	9.9999999999989e-05	2.16840434723859e-15	6.27075161116518e-10	1.04562897078736e-09	PORT_CLOSER
8	3	0.1	R	TRUE	0.0999999999999998	0.0999999999952527	0.10000000001463	0.1	4.74711936426787e-11	1.46301720738151e-10	1.52655665885959e-15	PORT_CLOSER
8	3	1e-04	grid	TRUE	9.99999999998646e-05	9.9999999995539e-05	9.99999999998646e-05	9.9999999999989e-05	4.32558719746265e-11	1.35525271560872e-16	1.24398646765724e-12	R_CLOSER
8	10	0.1	R	TRUE	0.100000000000002	0.0999999999988197	0.0999999999623759	0.0999999999999996	1.18194343201592e-11	3.76257497380899e-10	1.99840144432525e-14	PORT_CLOSER
8	10	1e-04	grid	TRUE	0.00010000000000191	9.99999999912008e-05	0.00010000000000191	9.9999999999989e-05	1.07093560363197e-10	1.49077798713909e-15	1.92116559202615e-11	R_CLOSER
8	45	0.1	R	TRUE	0.100000000000004	0.0999999999999162	0.10000000000637	0.0999999999999998	8.78186412478464e-13	6.36597718983697e-11	4.26048085699887e-14	PORT_CLOSER
8	45	1e-04	grid	TRUE	0.000100000000004528	0.000100000000004531	0.000100000000004528	9.9999999999878e-05	3.3881317888638e-14	3.93023287508201e-15	4.64964167407504e-11	R_CLOSER
8	200	0.1	R	TRUE	0.0999999999998772	0.0999999999986743	0.100000000056465	0.0999999999999999	1.20288501381941e-11	5.65878177650332e-10	1.2267964422123e-12	PORT_CLOSER
8	200	1e-04	R	TRUE	9.99999998636428e-05	9.99999998636328e-05	9.99999999262702e-05	9.9999999999989e-05	1.00424226363405e-13	6.2627366485872e-10	1.36346148316449e-09	PORT_CLOSER
9	3	0.1	grid	TRUE	0.1	0.0999999999873073	0.1	0.1	1.26928190180564e-10	1.11022302462516e-15	1.38777878078144e-15	R_CLOSER
9	3	1e-04	grid	TRUE	0.00010000000000026	9.99999999887529e-05	0.00010000000000026	9.9999999999989e-05	1.15075456758781e-10	4.47233396149106e-15	2.71457118935351e-12	R_CLOSER
9	10	0.1	R	TRUE	0.100000000000002	0.0999999999960801	0.0999999999314726	0.1	3.92219590139566e-11	6.85296958069499e-10	2.20656826144245e-14	PORT_CLOSER
9	10	1e-04	grid	TRUE	0.000100000000002419	9.99999999721842e-05	0.000100000000002419	9.9999999999989e-05	3.0235254403589e-10	4.60785923295191e-15	2.43046956252911e-11	R_CLOSER
9	45	0.1	R	TRUE	0.099999999999995	0.0999999999997527	0.099999999996789	0.1	2.42306175124452e-12	3.20600490599803e-11	4.96824803519782e-14	PORT_CLOSER
9	45	1e-04	grid	TRUE	9.99999999945719e-05	9.99999999945837e-05	9.99999999945719e-05	9.9999999999989e-05	1.17500410449495e-13	4.06575814704133e-16	5.41703997226483e-11	R_CLOSER
9	200	0.1	R	TRUE	0.0999999999999188	0.0999999999981371	0.100000000076015	0.0999999999999998	1.78171366549551e-11	7.60961849089532e-10	8.09352584952396e-13	PORT_CLOSER
9	200	1e-04	R	TRUE	9.99999999100365e-05	9.99999999100086e-05	9.99999999727885e-05	9.9999999999989e-05	2.79317584937862e-13	6.27519683916018e-10	8.9952459624443e-10	PORT_CLOSER
10	3	0.1	grid	TRUE	0.1	0.0999999999710202	0.1	0.1	2.89800267117001e-10	2.22044604925031e-15	2.4980018054066e-15	R_CLOSER
10	3	1e-04	grid	TRUE	0.0001000000000003	9.99999999734891e-05	0.0001000000000003	9.9999999999989e-05	2.68113168384764e-10	4.06575814680843e-15	3.1142352151837e-12	R_CLOSER
10	10	0.1	grid	TRUE	0.100000000000003	0.0999999999903455	0.100000000000003	0.1	9.65708069067237e-11	4.16333634234423e-15	2.49800180540654e-14	R_CLOSER
10	10	1e-04	grid	TRUE	0.000100000000002898	9.9999999925616e-05	0.000100000000002898	9.9999999999989e-05	7.7282283218233e-10	2.84603070269196e-15	2.90929389945466e-11	R_CLOSER
10	45	0.1	R	TRUE	0.100000000000003	0.0999999999997441	0.0999999999817471	0.0999999999999999	2.59042787220656e-12	1.825603557215e-10	3.27515792264411e-14	PORT_CLOSER
10	45	1e-04	grid	TRUE	0.000100000000003954	0.000100000000003977	0.000100000000003954	9.9999999999989e-05	2.33916618704499e-13	3.93023287510457e-15	3.96461563649816e-11	R_CLOSER
10	200	0.1	R	FALSE	0.0999999999999148	0.0999999999973505	0.100000000098273	0.0999999999999999	2.56425436440329e-11	9.83582520986687e-10	8.51124726253986e-13	PORT_CLOSER
10	200	1e-04	R	TRUE	9.99999999052128e-05	9.99999999051558e-05	9.99999999672374e-05	9.9999999999989e-05	5.69748242181181e-13	6.20246178140003e-10	9.47762106240139e-10	PORT_CLOSER
2	3	1e-06	grid	TRUE	1.00000000020497e-06	1.00000000020496e-06	1.00000000020497e-06	1.00000000002876e-06	6.14098886633498e-15	4.02340649863326e-15	1.76210381563563e-10	TIE
2	3	1e-10	R	TRUE	1.17882135246004e-10	1.17882135246003e-10	0	1.17882037464767e-10	5.26276062204093e-15	1	8.29483079124481e-07	PORT_CLOSER
2	3	1e-15	R	TRUE	1.77832320321247e-11	1.77832320321247e-11	0	8.88178419700125e-16	1.27188465143108e-15	1	0.99995005528702	PORT_CLOSER
2	5	1e-06	grid	TRUE	1.0000000004832e-06	1.0000000004832e-06	1.0000000004832e-06	1.00000000002876e-06	4.44692297093634e-15	4.44692297093634e-15	4.54439952245927e-10	TIE
2	5	1e-10	grid	TRUE	1.16904938321667e-10	1.16904938321667e-10	1.16904938321667e-10	1.00000008274037e-10	3.53783434826772e-15	3.53783434826772e-15	0.144604071396162	TIE
2	5	1e-15	grid	TRUE	4.65621180972531e-16	4.65621180972531e-16	4.65621180972531e-16	9.99200722162641e-16	2.11776476634219e-16	2.11776476634219e-16	1.14595203782533	TIE
2	10	1e-06	grid	TRUE	1.00000000216167e-06	1.00000000216167e-06	1.00000000216167e-06	9.99999999917733e-07	2.11758236355824e-15	2.11758236355824e-15	2.24393447978527e-09	TIE
2	10	1e-10	grid	TRUE	1.00002055239008e-10	1.00002055239008e-10	1.00002055239008e-10	1.00000008274037e-10	2.19715334534137e-15	2.19715334534137e-15	2.04692290152579e-05	TIE
2	10	1e-15	R	TRUE	3.08805977416332e-15	3.08805977416333e-15	3.17523785042795e-14	1.11022302462516e-15	1.78818635013087e-15	9.28230695854404	0.640478777673285	PORT_CLOSER
2	45	1e-06	R	TRUE	1.00000000122884e-06	1.00000000122885e-06	1.00000021352464e-06	1.00000000002876e-06	5.929230623494e-15	2.12295795636518e-07	1.20008834841467e-09	PORT_CLOSER
2	45	1e-10	R	TRUE	1.00001263122389e-10	1.00001263122389e-10	1.00260466595614e-10	1.00000008274037e-10	4.26509616009202e-15	0.00259200199208818	1.254832502256e-05	PORT_CLOSER
2	45	1e-15	R	TRUE	2.26887638409788e-15	2.26887638409788e-15	2.4846791291111e-13	9.99200722162641e-16	1.56459562908537e-15	108.511436873588	0.559605481741602	PORT_CLOSER
5	3	1e-06	grid	TRUE	1.00000000021526e-06	1.00000000021481e-06	1.00000000021526e-06	1.00000000002876e-06	4.49139220184911e-13	8.47032947071969e-16	1.86503525934568e-10	R_CLOSER
