analysis	quantity	plugin_value	r_value	relative_difference
c0020	mean_diff	-6.126295663050769	-6.1262956630507688	0.00e+00
c0020	mean_group1	89.13421448105278	89.13421448105278	0.00e+00
c0020	mean_group2	95.26051014410355	95.260510144103549	0.00e+00
c0020	median_group1	90.33935299990364	90.339352999903639	0.00e+00
c0020	median_group2	95.27021171593253	95.270211715932533	0.00e+00
c0020	n	48	48	0.00e+00
c0020	n_group1	24	24	0.00e+00
c0020	n_group2	24	24	0.00e+00
c0020	p	0.0003088228165246715	0.00030882281652467133	5.27e-16
c0020	sd_group1	4.9840777494869775	4.9840777494869775	0.00e+00
c0020	sd_group2	5.857231403651492	5.8572314036514923	0.00e+00
c0020	t	-3.9024095083039763	-3.9024095083039763	0.00e+00
c0021	mean_diff	6.126295663050769	6.1262956630507688	0.00e+00
c0021	mean_group1	95.26051014410355	95.260510144103549	0.00e+00
c0021	mean_group2	89.13421448105278	89.13421448105278	0.00e+00
c0021	median_group1	95.27021171593253	95.270211715932533	0.00e+00
c0021	median_group2	90.33935299990364	90.339352999903639	0.00e+00
c0021	n	48	48	0.00e+00
c0021	n_group1	24	24	0.00e+00
c0021	n_group2	24	24	0.00e+00
c0021	p	0.0027296853011788804	0.0027296853011788804	0.00e+00
c0021	p_method	exact	exact	
c0021	rank_biserial	0.4965277777777778	0.49652777777777773	1.12e-16
c0021	sd_group1	5.857231403651492	5.8572314036514923	0.00e+00
c0021	sd_group2	4.9840777494869775	4.9840777494869775	0.00e+00
c0021	u1	431	431	0.00e+00
c0021	u2	145	145	0.00e+00
c0022	mean_diff	-6.126295663050769	-6.1262956630507688	0.00e+00
c0022	mean_group1	89.13421448105278	89.13421448105278	0.00e+00
c0022	mean_group2	95.26051014410355	95.260510144103549	0.00e+00
c0022	median_group1	90.33935299990364	90.339352999903639	0.00e+00
c0022	median_group2	95.27021171593253	95.270211715932533	0.00e+00
c0022	n	48	48	0.00e+00
c0022	n_group1	24	24	0.00e+00
c0022	n_group2	24	24	0.00e+00
c0022	p	0.0027296853011788804	0.0027296853011788804	0.00e+00
c0022	p_method	exact	exact	
c0022	rank_biserial	-0.4965277777777778	-0.49652777777777773	1.12e-16
c0022	sd_group1	4.9840777494869775	4.9840777494869775	0.00e+00
c0022	sd_group2	5.857231403651492	5.8572314036514923	0.00e+00
c0022	u1	145	145	0.00e+00
c0022	u2	431	431	0.00e+00
c0023	cohens_d	1.1265285900537279	1.1265285900537281	1.97e-16
c0023	cohens_d	1.1265285900537279	1.1265285900537281	1.97e-16
c0023	df	44.85122186889205	44.851221868892047	0.00e+00
c0023	hedges_g	1.108044010464055	1.1080440104640632	7.41e-15
c0023	mean_diff	6.126295663050769	6.1262956630507688	0.00e+00
c0023	mean_group1	95.26051014410355	95.260510144103549	0.00e+00
c0023	mean_group2	89.13421448105278	89.13421448105278	0.00e+00
c0023	median_group1	95.27021171593253	95.270211715932533	0.00e+00
c0023	median_group2	90.33935299990364	90.339352999903639	0.00e+00
c0023	mw_p	0.0027296853011788804	0.0027296853011788804	0.00e+00
c0023	n	48	48	0.00e+00
c0023	n_group1	24	24	0.00e+00
c0023	n_group2	24	24	0.00e+00
c0023	p	0.00031662029464293086	0.00031662029464293	2.74e-15
c0023	p_method	exact	exact	
c0023	rank_biserial	0.4965277777777778	0.49652777777777773	1.12e-16
c0023	sd_group1	5.857231403651492	5.8572314036514923	0.00e+00
c0023	sd_group2	4.9840777494869775	4.9840777494869775	0.00e+00
c0023	t	3.9024095083039763	3.9024095083039763	0.00e+00
c0023	u1	431	431	0.00e+00
c0023	u2	145	145	0.00e+00
c0024	cohens_d	-1.1265285900537279	-1.1265285900537281	1.97e-16
c0024	cohens_d	-1.1265285900537279	-1.1265285900537281	1.97e-16
c0024	df	44.85122186889205	44.851221868892047	0.00e+00
c0024	hedges_g	-1.108044010464055	-1.1080440104640632	7.41e-15
c0024	mean_diff	-6.126295663050769	-6.1262956630507688	0.00e+00
c0024	mean_group1	89.13421448105278	89.13421448105278	0.00e+00
c0024	mean_group2	95.26051014410355	95.260510144103549	0.00e+00
c0024	median_group1	90.33935299990364	90.339352999903639	0.00e+00
c0024	median_group2	95.27021171593253	95.270211715932533	0.00e+00
c0024	mw_p	0.0027296853011788804	0.0027296853011788804	0.00e+00
c0024	n	48	48	0.00e+00
c0024	n_group1	24	24	0.00e+00
c0024	n_group2	24	24	0.00e+00
c0024	p	0.00031662029464293086	0.00031662029464293	2.74e-15
c0024	p_method	exact	exact	
c0024	rank_biserial	-0.4965277777777778	-0.49652777777777773	1.12e-16
c0024	sd_group1	4.9840777494869775	4.9840777494869775	0.00e+00
c0024	sd_group2	5.857231403651492	5.8572314036514923	0.00e+00
c0024	t	-3.9024095083039763	-3.9024095083039763	0.00e+00
c0024	u1	145	145	0.00e+00
c0024	u2	431	431	0.00e+00
c0025	cohens_d	-2.413688140590419	-2.4136881405904189	0.00e+00
c0025	cohens_d	-2.413688140590419	-2.4136881405904189	0.00e+00
c0025	df	43.829915078239196	43.829915078239189	1.62e-16
c0025	hedges_g	-2.3740832775329577	-2.3740832775329745	7.11e-15
c0025	mean_diff	-9.540102222409388	-9.5401022224093879	0.00e+00
c0025	mean_group1	87.42731120137347	87.42731120137347	0.00e+00
c0025	mean_group2	96.96741342378286	96.967413423782858	0.00e+00
c0025	median_group1	88.11273799482314	88.112737994823135	0.00e+00
